genre,content
3,navoir pas suivi les lecons de rollin netre pas ne dans le grand siecle son declin quand le soleil couchant si beau dorait la vie quand maintenon jetait sur la france ravie lombre douce et la paix de ses coiffes de lin et royale abritait la veuve et lorphelin quand letude de la priere etait suivie quand poete et docteur simplement bonnement communiaient avec des ferveurs de novices humbles servaient la messe et chantaient aux offices et le printemps venu prenaient un soin charmant daller dans les auteuils cueillir lilas et roses en louant dieu comme garo de toutes choses
2,parais flambeau des nuits levetoi dans les cieux etends autour de moi sur la pale verdure les douteuses clartes dun jour mysterieux tous les infortunes cherissent ta lumiere leclat brillant du jour repousse leurs douleurs aux regards du soleil ils ferment leur paupiere et rouvrent devant toi leurs yeux noyes de pleurs viens guider mes pas vers la tombe ou ton rayon sest abaisse ou chaque soir mon genou tombe sur un saint nom presque efface mais quoi la pierre le repousse jentends oui des pas sur la mousse un leger souffle murmure mon oeil se trouble je chancelle non non ce nest plus toi cest elle dont le regard ma penetre estce bien toi toi qui tinclines sur celui qui fut ton amant parle que tes levres divines prononcent un mot seulement ce mot que murmurait ta bouche quand planant sur ta sombre couche la mort interrompit ta voix sa bouche commence ah jacheve oui cest toi ce nest point un reve anges du ciel je la revois ainsi donc lardente priere perce le ciel et les enfers ton ame franchi la barriere qui separe deux univers gloire ton nom dieu qui lenvoie ta grace permis que je voie ce que mes yeux cherchaient toujours que veuxtu fautil que je meure tiens je te donne pour cette heure toutes les heures de mes jours mais quoi sur ce rayon deja lombre senvole pour un siecle de pleurs une seule parole estce tout cest assez astre que jai chante jen benirai toujours ta pieuse clarte soit que dans nos climats empire des orages comme un vaisseau voguant sur la mer des nuages tu perces rarement la triste obscurite soit que sous ce beau ciel propice ta lumiere dans un limpide azur poursuivant ta carriere des couleurs du matin tu dores les coteaux ou que te balancant sur une mer tranquille et teignant de tes feux sa surface immobile tes rayons argentes se brisent dans les eaux
2,que ses voiles carrees pendent le long des mats par les boulets de fer largement dechirees quon ny voit que des morts tombes de toutes parts ancres agres voilures grands mats rompus trainant leurs cordages epars comme des chevelures que le vaisseau couvert de fumee et de bruit tourne ainsi quune roue quun flux et quun reflux dhommes roule et senfuit de la poupe la proue lorsqua la voix des chefs nul soldat ne repond que la mer monte et gronde que les canons eteints nagent dans lentrepont sentrechoquant dans londe quon voit le lourd colosse ouvrir au flot marin sa blessure beante et saigner travers son armure dairain la galere geante quelle vogue au hasard comme un corps palpitant la carene entrouverte comme un grand poisson mort dont le ventre flottant argente londe verte alors gloire au vainqueur son grappin noir sabat sur la nef quil foudroie tel un aigle puissant pose apres le combat son ongle sur sa proie puis il pend au grand mat comme au front dune tour son drapeau que lair ronge et dont le reflet dor dans londe tour tour selargit et sallonge et cest alors quon voit les peuples etaler les couleurs les plus fieres et la pourpre et largent et lazur onduler aux plis de leurs bannieres dans ce riche appareil leur orgueil insense se flatte et se repose comme si le flot noir par le flot efface en gardait quelque chose malte arborait sa croix venise peupleroi sur ses poupes mouvantes lheraldique lion qui fait rugir deffroi les lionnes vivantes le pavillon de naple est eclatant dans lair et quand il se deploie on croit voir ondoyer de la poupe la mer un flot dor et de soie espagne peint aux plis des drapeaux voltigeant sur ses flottes avares leon aux lions dor castille aux tours dargent les chaines des navarres rome les clefs milan lenfant qui hurle encor dans les dents de la guivre et les vaisseaux de france ont des fleurs de lys dor sur leurs robes de cuivre stamboul la turque autour du croissant abhorre suspend trois blanches queues lamerique enfin libre etale un ciel dore seme detoiles bleues lautriche laigle etrange aux ailerons dresses qui brillant sur la moire vers les deux bouts du monde la fois menaces tourne une tete noire lautre aigle au double front qui des czars suit les lois son antique adversaire comme elle regardant deux mondes la fois en tient un dans sa serre langleterre en triomphe impose aux flots amers sa splendide oriflamme si riche quon prendrait son reflet dans les mers pour lombre dune flamme cest ainsi que les rois font aux mats des vaisseaux flotter leurs armoiries et condamnent les nefs conquises sur les eaux changer de patries ils trainent dans leurs rangs ces voiles dont le sort trompa les destinees tout fiers de voir rentrer plus nombreuses au port leurs flottes blasonnees aux navires captifs toujours ils appendront leurs drapeaux de victoire afin que le vaincu porte ecrite son front sa honte avec leur gloire mais le bon canaris dont un ardent sillon suit la barque hardie sur les vaisseaux quil prend comme son pavillon arbore lincendie
3,que vont charmant masques et bergamasques jouant du luth et dansant et quasi tristes sous leurs deguisements fantasques tout en chantant sur le mode mineur lamour vainqueur et la vie opportune ils nont pas lair de croire leur bonheur et leur chanson se mele au clair de lune au calme clair de lune triste et beau qui fait rever les oiseaux dans les arbres et sangloter dextase les jets deau les grands jets deau sveltes parmi les marbres
2,sous le pied du chasseur refusant de ployer quand vient la pie aux champs que le foin vert embaume au fond du vieux chateau seveille le foyer cest le temps de la ville oh lorsque lan dernier jy revins que je vis ce bon louvre et son dome paris et sa fumee et tout ce beau royaume jentends encore au vent les postillons crier que jaimais ce temps gris ces passants et la seine sous ses mille falots assise en souveraine jallais revoir lhiver et toi ma vie et toi oh dans tes longs regards jallais tremper mon ame je saluais tes murs car qui meut dit madame que votre coeur sitot avait change pour moi
1,plus fidele encor quune eau pure et limage la transfigure pretant ses couleurs au fond noir aurore colombe et nuee reflechissent leur candeur et du firmament la grandeur ny semble pas diminuee fleur de ce cloaque epais les couleuvres et les sangsues mille betes inapercues rodent sans en troubler la paix le reflet den haut les recouvre et le jeu trompeur du rayon donne au regard lillusion dun grand vallon dazur qui souvre travers ces monstres hideux le ciel luit sans rides ni voiles il les change tous en etoiles et sarrondit audessous deux mais la bouche qui veut se tendre vers letoile pour sy poser sent audevant de son baiser surgir un monstre pour le prendre tel se reflete lideal dans les yeux dune amante infame et telle en plongeant notre ame ny sent de reel que le mal
2,ou presque seul lauteur navait pas grand succes ce netait que moliere et nous savons de reste que ce grand maladroit qui fit un jour alceste ignora le bel art de chatouiller lesprit et de servir point un denoument bien cuit grace dieu nos auteurs ont change de methode et nous aimons bien mieux quelque drame la mode ou lintrigue enlacee et roulee en feston tourne comme un rebus autour dun mirliton jecoutais cependant cette simple harmonie et comme le bon sens fait parler le genie jadmirais quel amour pour lapre verite eut cet homme si fier en sa naivete quel grand et vrai savoir des choses de ce monde quelle male gaiete si triste et si profonde que lorsquon vient den rire on devrait en pleurer et je me demandais estce assez dadmirer estce assez de venir un soir par aventure dentendre au fond de lame un cri de la nature dessuyer une larme et de partir ainsi quoi quon fasse dailleurs sans en prendre souci enfonce que jetais dans cette reverie ca et la toutefois lorgnant la galerie je vis que devant moi se balancait gaiement sous une tresse noire un cou svelte et charmant et voyant cet ebene enchasse dans livoire un vers dandre chenier chanta dans ma memoire un vers presque inconnu refrain inacheve frais comme le hasard moins ecrit que reve josai men souvenir meme devant moliere sa grande ombre coup sur ne sen offensa pas et tout en ecoutant je murmurais tout bas regardant cette enfant qui ne sen doutait guere sous votre aimable tete un cou blanc delicat se plie et de la neige effacerait leclat puis je songeais encore ainsi va la pensee que lantique franchise ce point delaissee avec notre finesse et notre esprit moqueur ferait croire apres tout que nous manquons de coeur que cetait une triste et honteuse misere que cette solitude lentour de moliere et quil est pourtant temps comme dit la chanson de sortir de ce siecle ou den avoir raison car quoi comparer cette scene embourbee et leffroyable honte ou la muse est tombee la lachete nous bride et les sots vont disant que sous ce vieux soleil tout est fait present comme si les travers de la famille humaine ne rajeunissaient pas chaque an chaque semaine notre siecle ses moeurs partant sa verite celui qui lose dire est toujours ecoute ah joserais parler si je croyais bien dire joserais ramasser le fouet de la satire et lhabiller de noir cet homme aux rubans verts qui se fachait jadis pour quelques mauvais vers sil rentrait aujourdhui dans paris la grandville il trouverait mieux pour emouvoir sa bile quune mechante femme et quun mechant sonnet nous avons autre chose mettre au cabinet notre maitre tous si ta tombe est fermee laissemoi dans ta cendre un instant ranimee trouver une etincelle et je vais timiter jen aurai fait assez si je puis le tenter apprendsmoi de quel ton dans ta bouche hardie parlait la verite ta seule passion et pour me faire entendre defaut du genie jen aurai le courage et lindignation ainsi je caressais une folle chimere devant moi cependant cote de sa mere lenfant restait toujours et le cou svelte et blanc sous les longs cheveux noirs se bercait mollement le spectacle fini la charmante inconnue se leva le beau cou lepaule demi nue se voilerent la main glissa dans le manchon et lorsque je la vis au seuil de sa maison senfuir je mapercus que je lavais suivie helas mon cher ami cest la toute ma vie pendant que mon esprit cherchait sa volonte mon corps savait la sienne et suivait la beaute et quand je meveillai de cette reverie il ne men restait plus que limage cherie sous votre aimable tete un cou blanc delicat se plie et de la neige effacerait leclat
3,sisyphe il faudrait ton courage bien quon ait du coeur louvrage lart est long et le temps est court loin des sepultures celebres vers un cimetiere isole mon coeur comme un tambour voile va battant des marches funebres maint joyau dort enseveli dans les tenebres et loubli bien loin des pioches et des sondes mainte fleur epanche regret son parfum doux comme un secret dans les solitudes profondes
3,sur de profonds coussins tout impregnes dodeur hippolyte revait aux caresses puissantes qui levaient le rideau de sa jeune candeur elle cherchait dun oeil trouble par la tempete de sa naivete le ciel deja lointain ainsi quun voyageur qui retourne la tete vers les horizons bleus depasses le matin de ses yeux amortis les paresseuses larmes lair brise la stupeur la morne volupte ses bras vaincus jetes comme de vaines armes tout servait tout parait sa fragile beaute etendue ses pieds calme et pleine de joie delphine la couvait avec des yeux ardents comme un animal fort qui surveille une proie apres lavoir dabord marquee avec les dents beaute forte genoux devant la beaute frele superbe elle humait voluptueusement le vin de son triomphe et sallongeait vers elle comme pour recueillir un doux remerciement elle cherchait dans loeil de sa pale victime le cantique muet que chante le plaisir et cette gratitude infinie et sublime qui sort de la paupiere ainsi quun long soupir hippolyte cher coeur que distu de ces choses comprendstu maintenant quil ne faut pas offrir lholocauste sacre de tes premieres roses aux souffles violents qui pourraient les fletrir mes baisers sont legers comme ces ephemeres qui caressent le soir les grands lacs transparents et ceux de ton amant creuseront leurs ornieres comme des chariots ou des socs dechirants ils passeront sur toi comme un lourd attelage de chevaux et de boeufs aux sabots sans pitie hippolyte ma soeur tourne donc ton visage toi mon ame et mon coeur mon tout et ma moitie tourne vers moi tes yeux pleins dazur et detoiles pour un de ces regards charmants baume divin des plaisirs plus obscurs je leverai les voiles et je tendormirai dans un reve sans fin mais hippolyte alors levant sa jeune tete je ne suis point ingrate et ne me repens pas ma delphine je souffre et je suis inquiete comme apres un nocturne et terrible repas je sens fondre sur moi de lourdes epouvantes et de noirs bataillons de fantomes epars qui veulent me conduire en des routes mouvantes quun horizon sanglant ferme de toutes parts avonsnous donc commis une action etrange explique si tu peux mon trouble et mon effroi je frissonne de peur quand tu me dis mon ange et cependant je sens ma bouche aller vers toi ne me regarde pas ainsi toi ma pensee toi que jaime jamais ma soeur delection quand meme tu serais une embuche dressee et le commencement de ma perdition delphine secouant sa criniere tragique et comme trepignant sur le trepied de fer loeil fatal repondit dune voix despotique qui donc devant lamour ose parler denfer maudit soit jamais le reveur inutile qui voulut le premier dans sa stupidite seprenant dun probleme insoluble et sterile aux choses de lamour meler lhonnetete celui qui veut unir dans un accord mystique lombre avec la chaleur la nuit avec le jour ne chauffera jamais son corps paralytique ce rouge soleil que lon nomme lamour va si tu veux chercher un fiance stupide cours offrir un coeur vierge ses cruels baisers et pleine de remords et dhorreur et livide tu me rapporteras tes seins stigmatises on ne peut icibas contenter quun seul maitre mais lenfant epanchant une immense douleur cria soudain je sens selargir dans mon etre un abime beant cet abime est mon cœur brulant comme un volcan profond comme le vide rien ne rassasiera ce monstre gemissant et ne rafraichira la soif de leumenide qui la torche la main le brule jusquau sang que nos rideaux fermes nous separent du monde et que la lassitude amene le repos je veux maneantir dans ta gorge profonde et trouver sur ton sein la fraicheur des tombeaux descendez descendez lamentables victimes descendez le chemin de lenfer eternel plongez au plus profond du gouffre ou tous les crimes flagelles par un vent qui ne vient pas du ciel bouillonnent pelemele avec un bruit dorage ombres folles courez au but de vos desirs jamais vous ne pourrez assouvir votre rage et votre chatiment naitra de vos plaisirs jamais un rayon frais neclaira vos cavernes par les fentes des murs des miasmes fievreux filtrent en senflammant ainsi que des lanternes et penetrent vos corps de leurs parfums affreux lapre sterilite de votre jouissance altere votre soif et roidit votre peau et le vent furibond de la concupiscence fait claquer votre chair ainsi quun vieux drapeau loin des peuples vivants errantes condamnees travers les deserts courez comme les loups faites votre destin ames desordonnees et fuyez linfini que vous portez en vous
2,que me disait aline en la saison des roses doux zephyrs qui passiez alors dans ces beaux lieux nen rapportiezvous rien loreille des dieux segrais vois cette branche est rude elle est noire et la nue verse la pluie flots sur son ecorce nue mais attends que lhiver sen aille et tu vas voir une feuille percer ces noeuds si durs pour elle et tu demanderas comment un bourgeon frele peut si tendre et si vert jaillir de ce bois noir demande alors pourquoi ma jeune bienaimee quand sur mon ame helas endurcie et fermee ton souffle passe apres tant de maux expies pourquoi remonte et court ma seve evanouie pourquoi mon ame en fleur et tout epanouie jette soudain des vers que jeffeuille tes pieds cest que tout sa loi le monde et la fortune cest quune claire nuit succede aux nuits sans lune cest que tout icibas ses reflux constants cest quil faut larbre au vent et la feuille au zephire cest quapres le malheur mest venu ton sourire cest que cetait lhiver et que cest le printemps
