genre,content
现代主义,en invernales horas mirad carolina medio apelotonada descansa en el sillon envuelta con su abrigo de marta cibelina no lejos del fuego que brilla en el salon el fino angora blanco junto ella se reclina rozando con su hocico la falda de alecon no lejos de las jarras de porcelana china que medio oculta un biombo de seda del japon con sus sutiles filtros la invade un dulce sueno entro sin hacer ruido dejo mi abrigo gris voy besar su rostro rosado halagueno como una rosa roja que fuera flor de lis abre los ojos mirame con su mirar risueno en tanto cae la nieve del cielo de paris
浪漫主义,no te acerques tu frente tu ardiente frente tu encendida frente las huellas de unos besos ese resplandor que aun de dia se siente si te acercas ese resplandor contagioso que me queda en las manos ese rio luminoso en que hundo mis brazos en el que casi no me atrevo beber por temor despues ya una dura vida de lucero no quiero que vivas en mi como vive la luz con ese ya aislamiento de estrella que se une con su luz quien el amor se niega traves del espacio duro azul que separa no une donde cada lucero inaccesible es una soledad que gemebunda envia su tristeza la soledad destella en el mundo sin amor la vida es una vivida corteza una rugosa piel inmovil donde el hombre no puede encontrar su descanso por mas que aplique su sueno contra un astro apagado pero tu no te acerques tu frente destellante carbon encendido que me arrebata la propia conciencia duelo fulgureo en que de pronto siento la tentacion de morir de quemarme los labios con tu roce indeleble de sentir mi carne deshacerse contra tu diamante abrasador no te acerques porque tu beso se prolonga como el choque imposible de las estrellas como el espacio que subitamente se incendia eter propagador donde la destruccion de los mundos es un unico corazon que totalmente se abrasa ven ven ven como el carbon extinto oscuro que encierra una muerte ven como la noche ciega que me acerca su rostro ven como los dos labios marcados por el rojo por esa linea larga que funde los metales ven ven amor mio ven hermetica frente redondez casi rodante que luces como una orbita que va morir en mis brazos ven como dos ojos dos profundas soledades dos imperiosas llamadas de una hondura que no conozco ven ven muerte amor ven pronto te destruyo ven que quiero matar amar morir darte todo ven que ruedas como liviana piedra confundida como una luna que me pide mis rayos
现代主义,que es tu vida alma mia cual tu pago lluvia en el lago que es tu vida alma mia tu costumbre viento en la cumbre como tu vida mi alma se renueva sombra en la cueva lluvia en el lago viento en la cumbre sombra en la cueva lagrimas es la lluvia desde el cielo es el viento sollozo sin partida pesar la sombra sin ningun consuelo lluvia viento sombra hacen la vida que es tu vida alma mia cual tu pago lluvia en el lago que es tu vida alma mia tu costumbre viento en la cumbre como tu vida mi alma se renueva sombra en la cueva lluvia en el lago viento en la cumbre sombra en la cueva lagrimas es la lluvia desde el cielo es el viento sollozo sin partida pesar la sombra sin ningun consuelo lluvia viento sombra hacen la vida
古典抒情,clarisimo marques en quien derrama el cielo cuanto bien conoce el mundo si el gran valor en que el sujeto fundo al claro resplandor de nuestra llama arribare mi pluma do la llama la voz de vuestro nombre alto profundo sereis vos solo eterno sin segundo por vos inmortal quien tanto os ama cuanto del largo cielo se desea cuanto sobre la tierra se procura todo se halla en vos de parte parte en fin de solo vos formo natura una extrana no vista al mundo idea hizo igual al pensamiento el arte
古典抒情,belleza singular ingenio raro fuera del natural curso del cielo etna de amor que de tu mismo hielo despides llamas entre marmol paro sol de hermosura entendimiento claro alma dichosa en cristalino velo norte del mar admiracion del suelo emula el sol como la luna el faro milagro del autor de cielo tierra bien de naturaleza el mas perfeto lucinda hermosa en quien mi luz se encierra nieve en blancura fuego en el efeto paz de los ojos del alma guerra dame escribir como penar sujeto
古典抒情,ti la lira ti de delfo delo juana la voz los versos la fama que mientras mas tu hielo me desama mas arde amor en su inmortal desvelo criome ardiente salamandra el cielo como sirena ti menos la escama para ser mariposa no eres llama fuerza sera mariposear en hielo mi amor es fuego elementar segundo de scitia tu desden los hielos bebe tal imposible mi esperanza fundo pues decir que fueramos se atreve cuando no los hubiere en todo el mundo yo amor juana desden su pecho nieve
古典抒情,anticipo la purpura olorosa un temprano clavel fabio admirado dijo fenisa que bajaba al prado corta su breve vida parca hermosa lastima fuera respondio piadosa dejole con vida enojado fabio de sus labios enganado dejo el clavel respeto la rosa ay necio fabio la siguiente aurora de un etiope vil la negra mano en el jardin entrandose deshora corto el clavel le gozo tirano asi perdida la ocasion se llora al mas indigno se defiende en vano
现代主义,alto triste el cielo viento tardecino campana mochuelo luna en hocino por que de la vida que fin truje ella que senda perdida labre con mi huella adios ilusiones ya logran mis anos las quietas razones de los desenganos perecen las glorias se apagan los dias quedan por memorias las cenizas frias de aquel ardimiento ni aun ceniza queda se la lleva el viento viento polvareda viento entre las mieses croar de las ranas callados cipreses luces livianas nocherniegas cruces nocherniega via nocherniegas luces del ultimo dia alto triste el cielo viento tardecino campana mochuelo luna en hocino
浪漫主义,te amo por que me odias te odio por que me amas secreto es este el mas triste misterioso del alma mas ello es verdad verdad dura atormentadora me odias porque te amo te amo porque me odias
古典抒情,echado esta por tierra el fundamento que mi vivir cansado sostenia oh cuanto bien se acaba en solo un dia oh cuantas esperanzas lleva el viento oh cuan ocioso esta mi pensamiento cuando se ocupa en bien de cosa mia mi esperanza asi como baldia mil veces la castiga mi tormento las mas veces me entrego otras resisto con tal furor con una fuerza nueva que un monte puesto encima romperia aqueste es el deseo que me lleva que desee tornar ver un dia quien fuera mejor nunca haber visto
现代主义,dime que dices mar que dices dime pero no me lo digas tus cantares son con el coro de tus varios mares una voz sola que cantando gime ese mero gemido nos redime de la letra fatal sus pesares bajo el oleaje de nuestros azares el secreto secreto nos oprime la sinrazon de nuestra suerte abona calla la culpa danos el castigo la vida al que nacio no le perdona de esta enorme injusticia se testigo que asi mi canto con tu canto entona no me digas lo que no te digo
古典抒情,agora con la aurora se levanta mi luz agora coge en rico nudo el hermoso cabello agora el crudo pecho cine con oro la garganta agora vuelta al cielo pura santa las manos ojos bellos alza pudo dolerse agora de mi mal agudo agora incomparable tane canta ansi digo del dulce error llevado presente ante mis ojos la imagino lleno de humildad amor la adoro mas luego vuelve en si el enganado animo conociendo el desatino la rienda suelta largamente al lloro
古典抒情,pasos de mi primera edad que fuistes por el camino facil de la muerte hasta llegarme al transito mas fuerte que por la senda de mi error pudistes que basilisco entre las flores vistes que de su engano la razon advierte volved atras porque el temor concierte las breves horas de mis anos tristes oh pasos esparcidos vanamente que furia os incito que habeis seguido la senda vil de la ignorante gente mas ya que es hecho que volvais os pido que quien de lo perdido se arrepiente aun no puede decir que lo ha perdido
古典抒情,esto de imaginar si esta en su casa si salio si la hablaron si fue vista temer que se componga adorne vista andar siempre mirando lo que pasa temblar del otro que de amor se abrasa con hacienda alma la conquista querer que al oro al amor resista morirme si se ausenta si se casa celar todo galan rico mancebo pensar que piensa en otro si en mi piensa rondar la noche contemplar el dia obliga marcio enamorar de nuevo pero saber como paso la ofensa no solo desobliga mas enfria
现代主义,siendo espanol no ha sido perezoso ni siendo militar fue pendenciero cortesano no ha sido lisonjero teologo al ergo dio reposo honores recibio no fue ambicioso fue poeta modesto pues que pero que falta impide que el romano clero canonice varon tan virtuoso que tanto esperar yo le consagro mis oraciones ya con toda el alma en los combates de la carne recios mas ya se lo que esperan un milagro ver si despues de muerto puede en calma resistirla alabanza de los necios
现代主义,si tu yo teresa mia nunca nos hubieramos visto nos hubieramos muerto sin saberlo no habriamos vivido tu sabes que morirse vida mia pero tienes sentido de que vives en mi viva aguardas que ti torne yo vivo por el amor supimos de la muerte por el amor supimos que se muere sabemos que se vive cuando llega el morirnos vivir es solamente vida mia saber que se ha vivido es morirse sabiendas dando gracias dios de haber nacido
现代主义,un cruzado caballero garrido noble garzon en el palenque guerrero le clavaron un acero tan cerca del corazon que el fisico al contemplarle tras verle examinarle dijo quedara sin vida si se pretende sacarle el venablo de la herida por el dolor congojado triste debil desangrado despues que tanto sufrio con el acero clavado el caballero murio pues el fisico decia que en dicho caso quien una herida tal tenia con el venablo moria sin el venablo tambien no comprendes asuncion la historia que te he contado la del garrido garzon con el acero clavado muy cerca del corazon pues el caso es verdadero yo soy el herido ingrata tu amor es el acero si me lo quitas me muero si me lo dejas me mata
